name,offerBy,difficulty,skills,rating,reviews,link,photo
Mathematics for Machine Learning,Imperial College London,Beginner,"['Eigenvalues And Eigenvectors', 'Principal Component Analysis (PCA)', 'Multivariable Calculus', 'Linear Algebra', 'Basis (Linear Algebra)', 'Transformation Matrix', 'Linear Regression', 'Vector Calculus', 'Gradient Descent', 'Dimensionality Reduction', 'Python Programming']",4.5,14751.0,https://www.coursera.org/specializations/mathematics-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3e/3974e00aa311e8840ea7bed5c70ad0/Specialization-logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
IBM Data Science,IBM,Beginner,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']",4.6,143196.0,https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Deploy Machine Learning Model into AWS Cloud Servers,Coursera Project Network,Intermediate,"['aws', 'EC2', 'Aws Elastic Beanstalk', 'Machine Learning', 'Python Programming']",,,https://www.coursera.org/projects/deploy-ml-model-aws-elastic-beanstalk,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/26/882ffd15464db48ca9c3b4d752c9eb/Deploy-Machine-Learning-Model-into-AWS-Cloud-Servers.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning for All,University of London,Beginner,,4.7,,https://www.coursera.org/learn/uol-machine-learning-for-all,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b5/8cd52cec40414c86470014b8042ecf/3657_UoL_Online-BSc-Computer-Science-Programme_MOOC-Icons_How-Comps-Work_05.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Artificial Intelligence (AI) Education for Teachers,Macquarie University,Beginner,"['Artificial Intelligence (AI)', 'Machine Learning', 'Thinking Skills', 'Ethical Awareness', 'Design Thinking']",5.0,,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c9/f48859fd1244dfb4847c115eaa1753/Logo1200x1200.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Applied Data Science with Python,University of Michigan,Intermediate,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']",4.5,40264.0,https://www.coursera.org/specializations/data-science-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Accounting Data Analytics,University of Illinois at Urbana-Champaign,Intermediate,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']",4.4,335.0,https://www.coursera.org/specializations/accounting-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b8/a9f8a1f20c4d958054c529cfe9e38e/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning,Stanford University,Mixed,"['Logistic Regression', 'Artificial Neural Network', 'Machine Learning (ML) Algorithms', 'Machine Learning']",4.9,,https://www.coursera.org/learn/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/ml/large-icon.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Deep Learning,DeepLearning.AI,Intermediate,"['Tensorflow', 'Convolutional Neural Network', 'Artificial Neural Network', 'Deep Learning', 'Backpropagation', 'Python Programming', 'Hyperparameter', 'Hyperparameter Optimization', 'Machine Learning', 'Inductive Transfer', 'Multi-Task Learning', 'Facial Recognition System']",4.8,260197.0,https://www.coursera.org/specializations/deep-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/4be3fd8d16487ab9cfa7bba909b236/GreyLogoName1000x1000.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning,University of Washington,Intermediate,"['Data Clustering Algorithms', 'Machine Learning', 'Classification Algorithms', 'Decision Tree', 'Python Programming', 'Machine Learning Concepts', 'Deep Learning', 'Linear Regression', 'Ridge Regression', 'Lasso (Statistics)', 'Regression Analysis', 'Logistic Regression']",4.7,22611.0,https://www.coursera.org/specializations/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/machine-learning-s12n/machinelearning.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Mathematics for Machine Learning,Imperial College London,Beginner,"['Eigenvalues And Eigenvectors', 'Principal Component Analysis (PCA)', 'Multivariable Calculus', 'Linear Algebra', 'Basis (Linear Algebra)', 'Transformation Matrix', 'Linear Regression', 'Vector Calculus', 'Gradient Descent', 'Dimensionality Reduction', 'Python Programming']",4.5,14751.0,https://www.coursera.org/specializations/mathematics-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3e/3974e00aa311e8840ea7bed5c70ad0/Specialization-logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
IBM Data Science,IBM,Beginner,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']",4.6,143196.0,https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Deploy Machine Learning Model into AWS Cloud Servers,Coursera Project Network,Intermediate,"['aws', 'EC2', 'Aws Elastic Beanstalk', 'Machine Learning', 'Python Programming']",,,https://www.coursera.org/projects/deploy-ml-model-aws-elastic-beanstalk,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/26/882ffd15464db48ca9c3b4d752c9eb/Deploy-Machine-Learning-Model-into-AWS-Cloud-Servers.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning for All,University of London,Beginner,,4.7,2144.0,https://www.coursera.org/learn/uol-machine-learning-for-all,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b5/8cd52cec40414c86470014b8042ecf/3657_UoL_Online-BSc-Computer-Science-Programme_MOOC-Icons_How-Comps-Work_05.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Artificial Intelligence (AI) Education for Teachers,Macquarie University,Beginner,"['Artificial Intelligence (AI)', 'Machine Learning', 'Thinking Skills', 'Ethical Awareness', 'Design Thinking']",5.0,,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c9/f48859fd1244dfb4847c115eaa1753/Logo1200x1200.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Applied Data Science with Python,University of Michigan,Intermediate,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']",4.5,40264.0,https://www.coursera.org/specializations/data-science-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Accounting Data Analytics,University of Illinois at Urbana-Champaign,Intermediate,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']",4.4,335.0,https://www.coursera.org/specializations/accounting-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b8/a9f8a1f20c4d958054c529cfe9e38e/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning,Stanford University,Mixed,"['Logistic Regression', 'Artificial Neural Network', 'Machine Learning (ML) Algorithms', 'Machine Learning']",4.9,150532.0,https://www.coursera.org/learn/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/ml/large-icon.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Deep Learning,DeepLearning.AI,Intermediate,"['Tensorflow', 'Convolutional Neural Network', 'Artificial Neural Network', 'Deep Learning', 'Backpropagation', 'Python Programming', 'Hyperparameter', 'Hyperparameter Optimization', 'Machine Learning', 'Inductive Transfer', 'Multi-Task Learning', 'Facial Recognition System']",4.8,260197.0,https://www.coursera.org/specializations/deep-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/4be3fd8d16487ab9cfa7bba909b236/GreyLogoName1000x1000.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning,University of Washington,Intermediate,"['Data Clustering Algorithms', 'Machine Learning', 'Classification Algorithms', 'Decision Tree', 'Python Programming', 'Machine Learning Concepts', 'Deep Learning', 'Linear Regression', 'Ridge Regression', 'Lasso (Statistics)', 'Regression Analysis', 'Logistic Regression']",4.7,22611.0,https://www.coursera.org/specializations/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/machine-learning-s12n/machinelearning.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Mathematics for Machine Learning,Imperial College London,Beginner,"['Eigenvalues And Eigenvectors', 'Principal Component Analysis (PCA)', 'Multivariable Calculus', 'Linear Algebra', 'Basis (Linear Algebra)', 'Transformation Matrix', 'Linear Regression', 'Vector Calculus', 'Gradient Descent', 'Dimensionality Reduction', 'Python Programming']",4.5,14751.0,https://www.coursera.org/specializations/mathematics-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3e/3974e00aa311e8840ea7bed5c70ad0/Specialization-logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
IBM Data Science,IBM,Beginner,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']",4.6,143196.0,https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Deploy Machine Learning Model into AWS Cloud Servers,Coursera Project Network,Intermediate,"['aws', 'EC2', 'Aws Elastic Beanstalk', 'Machine Learning', 'Python Programming']",,,https://www.coursera.org/projects/deploy-ml-model-aws-elastic-beanstalk,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/26/882ffd15464db48ca9c3b4d752c9eb/Deploy-Machine-Learning-Model-into-AWS-Cloud-Servers.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning for All,University of London,Beginner,,4.7,,https://www.coursera.org/learn/uol-machine-learning-for-all,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b5/8cd52cec40414c86470014b8042ecf/3657_UoL_Online-BSc-Computer-Science-Programme_MOOC-Icons_How-Comps-Work_05.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Artificial Intelligence (AI) Education for Teachers,Macquarie University,Beginner,"['Artificial Intelligence (AI)', 'Machine Learning', 'Thinking Skills', 'Ethical Awareness', 'Design Thinking']",5.0,,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c9/f48859fd1244dfb4847c115eaa1753/Logo1200x1200.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Applied Data Science with Python,University of Michigan,Intermediate,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']",4.5,40264.0,https://www.coursera.org/specializations/data-science-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Accounting Data Analytics,University of Illinois at Urbana-Champaign,Intermediate,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']",4.4,335.0,https://www.coursera.org/specializations/accounting-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b8/a9f8a1f20c4d958054c529cfe9e38e/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning,Stanford University,Mixed,"['Logistic Regression', 'Artificial Neural Network', 'Machine Learning (ML) Algorithms', 'Machine Learning']",4.9,150532.0,https://www.coursera.org/learn/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/ml/large-icon.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Deep Learning,DeepLearning.AI,Intermediate,"['Tensorflow', 'Convolutional Neural Network', 'Artificial Neural Network', 'Deep Learning', 'Backpropagation', 'Python Programming', 'Hyperparameter', 'Hyperparameter Optimization', 'Machine Learning', 'Inductive Transfer', 'Multi-Task Learning', 'Facial Recognition System']",4.8,260197.0,https://www.coursera.org/specializations/deep-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/4be3fd8d16487ab9cfa7bba909b236/GreyLogoName1000x1000.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning,University of Washington,Intermediate,"['Data Clustering Algorithms', 'Machine Learning', 'Classification Algorithms', 'Decision Tree', 'Python Programming', 'Machine Learning Concepts', 'Deep Learning', 'Linear Regression', 'Ridge Regression', 'Lasso (Statistics)', 'Regression Analysis', 'Logistic Regression']",4.7,22611.0,https://www.coursera.org/specializations/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/machine-learning-s12n/machinelearning.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Mathematics for Machine Learning,Imperial College London,Beginner,"['Eigenvalues And Eigenvectors', 'Principal Component Analysis (PCA)', 'Multivariable Calculus', 'Linear Algebra', 'Basis (Linear Algebra)', 'Transformation Matrix', 'Linear Regression', 'Vector Calculus', 'Gradient Descent', 'Dimensionality Reduction', 'Python Programming']",4.5,14751.0,https://www.coursera.org/specializations/mathematics-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3e/3974e00aa311e8840ea7bed5c70ad0/Specialization-logo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
IBM Data Science,IBM,Beginner,"['Data Science', 'Statistical Analysis', 'Machine Learning', 'Python Programming', 'Business Intelligence', 'Data Analysis', 'Pandas', 'Numpy', 'Cloud Databases', 'Ipython', 'Relational Database Management System (RDBMS)', 'SQL']",4.6,143196.0,https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Deploy Machine Learning Model into AWS Cloud Servers,Coursera Project Network,Intermediate,"['aws', 'EC2', 'Aws Elastic Beanstalk', 'Machine Learning', 'Python Programming']",,,https://www.coursera.org/projects/deploy-ml-model-aws-elastic-beanstalk,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/26/882ffd15464db48ca9c3b4d752c9eb/Deploy-Machine-Learning-Model-into-AWS-Cloud-Servers.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Machine Learning for All,University of London,Beginner,,4.7,,https://www.coursera.org/learn/uol-machine-learning-for-all,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b5/8cd52cec40414c86470014b8042ecf/3657_UoL_Online-BSc-Computer-Science-Programme_MOOC-Icons_How-Comps-Work_05.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Artificial Intelligence (AI) Education for Teachers,Macquarie University,Beginner,"['Artificial Intelligence (AI)', 'Machine Learning', 'Thinking Skills', 'Ethical Awareness', 'Design Thinking']",5.0,,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c9/f48859fd1244dfb4847c115eaa1753/Logo1200x1200.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Applied Data Science with Python,University of Michigan,Intermediate,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']",4.5,40264.0,https://www.coursera.org/specializations/data-science-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
Accounting Data Analytics,University of Illinois at Urbana-Champaign,Intermediate,"['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']",4.4,335.0,https://www.coursera.org/specializations/accounting-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b8/a9f8a1f20c4d958054c529cfe9e38e/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF
